"gen","env","yield"
"NILASQ4G31I02S3/LH123HT","GAH1_2017",164.45
"NILASQ4G31I02S3/LH123HT","GAH1_2017",95.02
"NILASQ4G31I02S3/LH123HT","IAH2_2017",111.33
"NILASQ4G31I02S3/LH123HT","IAH2_2017",110.27
"NILASQ4G31I02S3/LH123HT","IAH4_2017",232.83
"NILASQ4G31I02S3/LH123HT","IAH4_2017",223.33
"NILASQ4G31I02S3/LH123HT","MOH1_2017",186.48
"NILASQ4G31I02S3/LH123HT","MOH1_2017",123.58
"NILASQ4G31I02S3/LH123HT","NCH1_2017",155.08
"NILASQ4G31I02S3/LH123HT","NCH1_2017",158.41
"NILASQ4G31I02S3/LH123HT","NYH3_2017",121.48
"NILASQ4G31I02S3/LH123HT","NYH3_2017",137.35
"NILASQ4G31I02S3/LH123HT","TXH1-Dry_2017",169
"NILASQ4G31I02S3/LH123HT","TXH1-Dry_2017",198.32
"NILASQ4G31I02S3/LH123HT","TXH1-Early_2017",188.44
"NILASQ4G31I02S3/LH123HT","TXH1-Early_2017",171.48
"NILASQ4G31I02S3/LH123HT","TXH1-Late_2017",82.64
"NILASQ4G31I02S3/LH123HT","TXH1-Late_2017",93.55
"NILASQ4G31I02S3/LH123HT","TXH2_2017",143.88
"NILASQ4G31I02S3/LH123HT","TXH2_2017",139.14
"NILASQ4G31I02S3/LH123HT","WIH2_2017",192.6944201
"NILASQ4G31I02S3/LH123HT","WIH2_2017",187.9912088
"NILASQ4G31I07S3/LH123HT","GAH1_2017",54.03
"NILASQ4G31I07S3/LH123HT","GAH1_2017",160.26
"NILASQ4G31I07S3/LH123HT","IAH2_2017",149.76
"NILASQ4G31I07S3/LH123HT","IAH2_2017",116.24
"NILASQ4G31I07S3/LH123HT","IAH4_2017",191.51
"NILASQ4G31I07S3/LH123HT","IAH4_2017",189.56
"NILASQ4G31I07S3/LH123HT","MOH1_2017",155.92
"NILASQ4G31I07S3/LH123HT","MOH1_2017",166.88
"NILASQ4G31I07S3/LH123HT","NCH1_2017",131.32
"NILASQ4G31I07S3/LH123HT","NCH1_2017",162.02
"NILASQ4G31I07S3/LH123HT","NYH3_2017",153.73
"NILASQ4G31I07S3/LH123HT","NYH3_2017",122.89
"NILASQ4G31I07S3/LH123HT","TXH1-Dry_2017",165.02
"NILASQ4G31I07S3/LH123HT","TXH1-Dry_2017",158.58
"NILASQ4G31I07S3/LH123HT","TXH1-Early_2017",166.84
"NILASQ4G31I07S3/LH123HT","TXH1-Early_2017",175.96
"NILASQ4G31I07S3/LH123HT","TXH1-Late_2017",91.22
"NILASQ4G31I07S3/LH123HT","TXH1-Late_2017",117.69
"NILASQ4G31I07S3/LH123HT","TXH2_2017",138.09
"NILASQ4G31I07S3/LH123HT","TXH2_2017",85.95
"NILASQ4G31I07S3/LH123HT","WIH2_2017",159.3652291
"NILASQ4G31I07S3/LH123HT","WIH2_2017",175.5719391
"NILASQ4G51I01S2/LH123HT","GAH1_2017",135.17
"NILASQ4G51I01S2/LH123HT","GAH1_2017",109.29
"NILASQ4G51I01S2/LH123HT","IAH2_2017",106.93
"NILASQ4G51I01S2/LH123HT","IAH2_2017",134.78
"NILASQ4G51I01S2/LH123HT","IAH4_2017",229.31
"NILASQ4G51I01S2/LH123HT","IAH4_2017",215.47
"NILASQ4G51I01S2/LH123HT","MOH1_2017",103.93
"NILASQ4G51I01S2/LH123HT","MOH1_2017",134.22
"NILASQ4G51I01S2/LH123HT","NCH1_2017",148.25
"NILASQ4G51I01S2/LH123HT","NCH1_2017",152.08
"NILASQ4G51I01S2/LH123HT","NYH3_2017",164.98
"NILASQ4G51I01S2/LH123HT","NYH3_2017",163.97
"NILASQ4G51I01S2/LH123HT","TXH1-Dry_2017",167.98
"NILASQ4G51I01S2/LH123HT","TXH1-Dry_2017",163.64
"NILASQ4G51I01S2/LH123HT","TXH1-Early_2017",182.77
"NILASQ4G51I01S2/LH123HT","TXH1-Early_2017",183.84
